threshold,rouge_l2,rouge1,rouge2,rougeL,embedder
0.1,0.37162348833124215,0.30251224586624115,0.09898017951049601,0.1827302915015469,sbert
0.2,0.381625158891671,0.3098462951534694,0.10487957261900854,0.1874215847384131,sbert
0.30000000000000004,0.3842380990992308,0.3123972740095959,0.10535975895585661,0.1871661511646959,sbert
0.4,0.3802684668639985,0.31070513468626254,0.10352559249574453,0.18388831058220234,sbert
0.5,0.35947562275596584,0.29318136153892316,0.09145371162842161,0.1775953450093548,sbert
0.6,0.31638255934861303,0.2618991821723255,0.0704253039874466,0.15470297289056115,sbert
0.7000000000000001,0.2970812487051514,0.24610945829575864,0.0642708058757054,0.14472351126800614,sbert
0.8,0.2888852460694342,0.23843477836175098,0.05965784319621559,0.14367619645180946,sbert
0.9,0.29218363520305135,0.2405038547353443,0.0610821698883381,0.14602384204863494,sbert
0.1,0.3534340657823072,0.28563567266776707,0.09353626804443768,0.17738320636364857,tfidf
0.2,0.3099989554210096,0.25481039325807103,0.06948874079212747,0.15421605334430402,tfidf
0.30000000000000004,0.3073214274368279,0.2517858341428747,0.07047550215690573,0.15269592408705532,tfidf
0.4,0.2976152410913597,0.24569370887975037,0.06367643462380683,0.14654639756791155,tfidf
0.5,0.2952670075450357,0.2438746729970499,0.0631746827534808,0.1454110326004925,tfidf
0.6,0.294437840775582,0.24235678480242298,0.06288869918815612,0.1461271709750709,tfidf
0.7000000000000001,0.28703034690382107,0.23702078789596925,0.057424693302561024,0.1436851631889904,tfidf
0.8,0.2928146359338984,0.24102536179442097,0.0613309928476017,0.1463113282928413,tfidf
0.9,0.29326794245197485,0.24149011716186453,0.061071095691217395,0.14650197009262594,tfidf
0.1,0.3701397908153995,0.30108121086596334,0.09952274394000592,0.18164489182435187,bow
0.2,0.3637550983790512,0.2949265367940264,0.09644356919822378,0.1806411256311219,bow
0.30000000000000004,0.35228049378817244,0.2840981844925679,0.09056391782286242,0.1787139880743097,bow
0.4,0.32846108033988836,0.2677512346974458,0.07905963624182769,0.16415783851345364,bow
0.5,0.3070912704287896,0.25250048755800547,0.06831267423339331,0.15227574070294025,bow
0.6,0.294543013712594,0.24359200665113281,0.06200926767175611,0.14574456829686475,bow
0.7000000000000001,0.28457876723738984,0.2359226439970565,0.056692362002884814,0.14116972334521904,bow
0.8,0.2908619036956306,0.23953832185046647,0.060683712393885425,0.1451327412060013,bow
0.9,0.29449768492671835,0.24261686420473008,0.061765878391859985,0.14684552945759927,bow
